epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.94,1.35015,2.4391,1.48081,0.56009,0.40658,0.42787,0.23332,1.4274,1.66289,1.44407,0.000237344,0.000237344,0.000237344
2,216.041,1.23403,1.63011,1.39422,0.651,0.46976,0.50836,0.27542,1.42374,1.53133,1.41318,0.000465933,0.000465933,0.000465933
3,319.081,1.20207,1.50035,1.36122,0.68407,0.47678,0.53259,0.29993,1.37129,1.41383,1.37159,0.000685096,0.000685096,0.000685096
4,422.375,1.17524,1.393,1.33438,0.69449,0.5138,0.57347,0.3287,1.32222,1.36347,1.34373,0.000671588,0.000671588,0.000671588
5,524.298,1.14578,1.3204,1.30869,0.74875,0.53243,0.60062,0.34394,1.33051,1.24865,1.34363,0.000657451,0.000657451,0.000657451
6,628.206,1.11594,1.24409,1.28684,0.75284,0.55279,0.62227,0.36386,1.28686,1.13742,1.30484,0.000643314,0.000643314,0.000643314
7,731.141,1.09552,1.18025,1.27025,0.76332,0.54526,0.62738,0.36827,1.26893,1.15084,1.28765,0.000629177,0.000629177,0.000629177
8,833.055,1.08006,1.14214,1.25949,0.76771,0.586,0.66164,0.39577,1.2361,1.07258,1.26519,0.00061504,0.00061504,0.00061504
9,935.458,1.05765,1.1018,1.24408,0.77869,0.60044,0.67723,0.41121,1.21183,1.00908,1.24811,0.000600902,0.000600902,0.000600902
10,1037.37,1.03815,1.05826,1.23209,0.80399,0.59436,0.68009,0.41631,1.18431,0.97629,1.21672,0.000586765,0.000586765,0.000586765
11,1143.28,1.02699,1.0285,1.21866,0.81369,0.59942,0.68762,0.42522,1.18108,0.97645,1.22292,0.000572628,0.000572628,0.000572628
12,1246.64,1.01158,1.00123,1.20832,0.80366,0.63135,0.70663,0.43016,1.18504,0.93309,1.22191,0.000558491,0.000558491,0.000558491
13,1356.84,0.99903,0.97435,1.19777,0.81586,0.61855,0.70389,0.43592,1.1544,0.91213,1.20666,0.000544354,0.000544354,0.000544354
14,1458.42,0.99039,0.95454,1.19295,0.80419,0.63797,0.71397,0.44693,1.13887,0.90977,1.19159,0.000530216,0.000530216,0.000530216
